# digitised from Fig. 6, doi:10.1111/j.1742-4658.2012.08730.x
253.5784143759812, 0.28756900529728613
263.5841346892378, 0.29205699177271427
272.8665499196085, 0.32575449916363963
282.14896514997906, 0.3378645408822534
288.89981259024864, 0.3005866733310423
295.6506600305181, 0.2473024897691416
304.93307526088876, 0.25291874100096234
311.6839227011583, 0.22954109524850774
315.90320235132674, 0.18436537440254863
322.6540497915963, 0.1460344597453711
331.9364650219669, 0.14252430272548322
341.2188802523375, 0.15761797791100163
350.50129548270814, 0.17218512954353726
359.7837107130788, 0.18148704564624052
369.0661259434494, 0.18833185183502232
378.34854117381997, 0.18692778902706708
387.63095640419056, 0.1806095063912685
396.9133716345612, 0.1637607526958058
406.19578686493185, 0.1388386378546005
415.47820209530244, 0.11409203086438979
424.760617325673, 0.09303108874506139
434.04303255604367, 0.08565975900329637
443.32544778641426, 0.08952093172517328
452.6078630167849, 0.10531663831466975
461.8902782471555, 0.13603051223869
469.9069095824756, 0.17466417793883293
475.81390109271143, 0.21480428602667767
480.4551087078967, 0.25849989066258394
484.25246039304835, 0.2974977351535404
487.62788411318314, 0.34190122145512425
491.0033078333179, 0.3877526475274118
494.37873155345267, 0.431673487238761
497.33222730857057, 0.46481521976820406
499.86379509867163, 0.5129628735576685
506.1927145739243, 0.5692277654556239
509.1462103290423, 0.6141138983474423
512.0153204911568, 0.6589035019212139
513.871803537231, 0.7033069882227977
516.2346001413252, 0.7550467026959476
518.5973967454196, 0.808717003530036
521.3821213145309, 0.8628377745150098
523.7027251221234, 0.9157680172440718
526.4452568947329, 0.9638717940707875
528.5548967198172, 1.0176064477835738
531.5083924749351, 1.0644231670363307
534.8838161950698, 1.1112398862890875
538.6811678802214, 1.156222548498953
542.0217723022724, 1.187435548737913
548.2093663911844, 1.1999999999999993
553.5080442819543, 1.1847853436744749
562.4975677696191, 1.1407838972020028
565.4735936587913, 1.077454624972665
566.9503415363502, 1.0325684920808464
568.2161254314008, 0.9822123644997025
569.4819093264513, 0.9143200774733679
570.7476932215018, 0.8539892536940419
572.154119771558, 0.7865796132579418
572.2244410990608, 0.7367061322670324
573.4480321976096, 0.6782093655305981
574.1231169416366, 0.6263409453000522
575.2482581816814, 0.5356033863359462
575.3889008366871, 0.5832245165724275
576.6546847317377, 0.48235137921339455
578.1736254057982, 0.40715504045484274
579.1862525218387, 0.34817562712817396
580.873964381906, 0.3032894942363553
582.9836042069903, 0.24537190340820247
587.2028838571588, 0.19292430726937537
594.3756592624452, 0.16411176839779418
603.6580744928158, 0.16955251177862074
612.9404897231864, 0.18552372621911117
622.222904953557, 0.18745431258004963
630.6614642538939, 0.15677944040069436
638.2561676241971, 0.11065987733383187
647.1869762170536, 0.08384617787635396
