# digitised from Fig. 2, Appl. Sci. 2021;11:9425. doi: 10.3390/app11209425
306.12271419288965, 0.11379390435363668
313.7714657012903, 0.09259634978097786
321.4202172096909, 0.053819704383614164
329.8338438689316, 0.05152776923871305
338.2474705281723, 0.06370761961822935
346.661097187413, 0.07842981069798105
355.0747238466537, 0.09119635508524393
363.4883505058944, 0.10298507612626229
371.9019771651351, 0.10851572775131668
380.3156038243758, 0.10759274529115781
388.72923048361645, 0.09962943473803954
397.14285714285717, 0.08619031344595252
405.5564838020979, 0.06649312273790131
413.97011046133855, 0.043666897321868126
422.3837371205792, 0.032965681399265145
430.79736377982, 0.033607216293097375
439.21099043906065, 0.047351584026604776
447.6246170983013, 0.07009192654556062
455.273368606702, 0.10875889017075324
461.3923698134224, 0.1582822797735075
466.74649586930286, 0.20730485826559342
471.7181843497633, 0.25385752741642476
475.92499767938364, 0.30690252969283893
478.98449828274397, 0.35733193212307657
481.2791237352641, 0.4061610154133126
483.9561867632043, 0.4602002415651121
486.6332497911445, 0.5167492143056054
488.92787524366474, 0.5691636498654042
491.60493827160496, 0.6233821436306817
497.08654351929215, 0.6829426225764291
499.63612735542563, 0.6899501841022309
503.46050310962596, 0.6348495798579341
505.7551285621462, 0.5868741518699747
511.1092546180266, 0.5460301085405512
517.2282558247471, 0.5877892703540155
520.6701940035274, 0.6328520264506061
523.7296946068876, 0.6818831414957146
527.1716327856678, 0.7343675767903003
531.3784461152883, 0.7841140549787167
537.8798848974287, 0.8290266712154766
546.2935115566695, 0.8535270957576722
553.55982548965, 0.8806823882899489
558.5315139701105, 0.9293401714161948
564.5880132429841, 0.987763601758659
568.5714285714286, 0.9329931972789116
569.2397660818714, 0.8816868560289612
570.7695163835515, 0.8118180150552748
571.5343915343916, 0.7516068610680139
572.2992666852316, 0.6992834820737911
573.0641418360717, 0.6433747508100056
573.8290169869117, 0.5896172309079577
574.5938921377518, 0.5437474859989482
575.3587672885918, 0.4785168388342991
576.3786008230453, 0.4111425683550438
577.270955165692, 0.3527278845261299
578.6732262755654, 0.30149908133060443
579.9480181936323, 0.2377177511680435
581.7837185556484, 0.17237555971056384
584.9197066740927, 0.11094424774458189
589.508957579133, 0.0570316471292871
596.7752715121136, 0.02387968478194047
605.1888981713544, 0.014742986213328813
613.602524830595, 0.01284218040692564
622.0161514898357, 0.01309258596226015
630.4297781490764, 0.01334299151759466
638.8434048083171, 0.01359339707292917
647.2570314675578, 0.013843802628263902
655.6706581267985, 0.014094208183598411
664.0842847860392, 0.014344613738932921
672.4979114452799, 0.01459501929426743
679.3817878028404, 0.014799896566813908
