# phycoerythrin emission
# References:
# Donald A Bryant and Daniel P Canniffe 2018 J. Phys. B: At. Mol. Opt. Phys. 51 033001
403.32334445133273 0.000426110951485259
409.0985056512206 0.000426110951485259
414.8735501552528 0.00027720703968547866
420.64865300721283 0.000202755083785644
426.4238142071007 0.000202755083785644
432.19897540698855 0.00020275508378575502
437.97419495480426 0.0002772070396855897
438.269931426966 0.37763694551815485
443.7494728505477 0.00042611095148537004
444.04518014874566 0.37774862345200466
449.5245173545799 0.0002772070396855897
449.8203413486335 0.37774862345200466
455.2999119461791 0.0005750148632851504
455.5955025485214 0.37774862345200466
461.07478140642786 0.00020275508378575502
461.37066374840924 0.3777486234520047
466.8499426063157 0.00020275508378575502
467.1457082524414 0.377599719540205
471.8708651495135 0.3776316275213049
472.6251038062036 0.00020275508378575502
478.40026500609144 0.00020275508378575502
484.17557207579887 0.0003888849735353972
489.9506749277589 0.00031443301763556253
495.72604034539415 0.0005750148632851504
501.5009681535707 0.0002772070396855897
507.27607100553075 0.00020275508378575502
513.0512322054186 0.00020275508378575502
518.8263934053065 0.00020275508378575502
524.6015546051943 0.00020275508378575502
530.377095066613 0.0006866927971349579
536.1530439635264 0.0016917942017831145
541.9297805574655 0.0037019970110794276
547.7088510685173 0.00869027805637046
552.7031966515563 0.017247599737611252
556.2287454714573 0.027392609378416755
558.2301980365114 0.03555502547690531
559.812890440989 0.04531443602944607
561.1855769836527 0.055073846581986774
562.6637050391473 0.06539288766970819
564.125113495925 0.07670834410055605
564.990200295577 0.0863585584511104
565.9429286002129 0.09618621662989263
567.2140272675615 0.11030323811795589
568.0644242470354 0.12353986522750332
568.8961360319737 0.1352648074158005
569.6046330390337 0.14608205617508513
570.2515604791149 0.15808876356315094
571.3890616674078 0.1740002101383223
571.4716281529838 0.18365237442105486
572.528316419317 0.192149203888127
572.8003709262744 0.20433140517224252
573.4904956295618 0.21403621762379005
574.1302139747752 0.2264143870918277
574.1371365396403 0.23524757985966177
574.9304349662975 0.24261832349374846
574.939741460785 0.2544934104597771
575.7348851406596 0.264218697199197
576.0054955364033 0.27455821257479085
576.2821230622037 0.2925755859025584
576.5900717556585 0.2835668992386746
577.3389717853383 0.30127715824835516
577.6116681195017 0.31427833104736924
578.233170797344 0.32574393225594855
578.9453449394387 0.34125320531933934
579.7448878099544 0.3565918593171262
580.6611674607011 0.37201582284771506
581.430967880204 0.38662081486340544
582.1618059004857 0.3974899119406843
584.6740387064178 0.41204206174091085
587.7061002186388 0.39737531556244654
588.6367833165804 0.38102450951159883
589.3167625655324 0.36821345509997194
590.5046930342992 0.3527699922475998
591.123478643636 0.33843799073687564
591.6209375167921 0.3256074370034655
592.6796528873842 0.3143602281988591
592.9605646097849 0.30434830142922464
593.7404648935162 0.2946230146898047
593.7782257274712 0.28697928055075184
594.4701689411755 0.2766738889882787
595.4238171981401 0.2653447830321825
595.6787188730161 0.255639970580635
596.0642002929599 0.24507523803844405
596.8864879150894 0.23360963682986474
597.4910624003726 0.22347486433299552
598.0090169556415 0.21446617766911175
598.7875189729597 0.20295670298652002
599.4082484018347 0.19110501520663142
600.3460221325699 0.1818506370882781
601.2997987549757 0.17068532543516157
602.3413773391667 0.15990220048899767
603.3827419809559 0.14884608503786761
604.2508667627164 0.14004214125270853
605.5551131309767 0.12946375918526926
607.1210110568964 0.11779341509796531
608.6869089828162 0.10612307101066132
610.5168118328177 0.09636366045812073
612.609328981288 0.08674074515806302
615.4889723181172 0.07661279742381794
618.3688189002285 0.06674419066929077
621.7743311330411 0.05770625502273202
625.7049038651894 0.04872681734152329
630.4223659208947 0.038940107738485885
635.9277671460866 0.029685729620132606
641.6960432904916 0.02090039882394845
647.4657489591282 0.013939140947311024
653.2367091082128 0.008578600122520652
659.0093029992765 0.0053027140629265945
664.7827137613299 0.0030691553859305554
670.5572623079756 0.002287409848982014
676.3316358108378 0.0012823084443339683
682.1065927929783 0.0010217265986843804
687.8815497751189 0.0007611447530347926
693.6565067572593 0.0005005629073853157
699.4315804352555 0.0003888849735355082
705.2065957653238 0.00020275508378586604
710.9817569652116 0.00020275508378586604
716.7569181650995 0.00020275508378586604
722.5320793649873 0.00020275508378586604
728.3072405648752 0.00020275508378586604
734.0824017647631 0.00020275508378586604
739.8575629646509 0.00020275508378586604
745.6328700343583 0.0003888849735355082
751.4082062780296 0.0006122408412351232
757.1830757382784 0.00023998106173572786
762.9582077642024 0.00020275508378586604
768.7333689640902 0.00020275508378586604
774.5085301639781 0.00020275508378586604
780.283691363866 0.00020275508378586604
786.0588525637538 0.00020275508378586604
791.8341304594973 0.00035165899558553537
797.6094375292047 0.0005377888853351775
