"Wavelength","UV_normalized","blue_normalized","light_blue_normalized","white_normalized","green_normalized","orange_normalized","red_normalized","red_2_normalized","far_red_normalized"
328.1,-0.0216416294610564,-0.0133565929909247,-0.0184718218441038,0.00274484036134178,-0.0660022590570676,-0.0241926751861545,-0.0310907661914181,-0.00242445398504546,-0.015631974300488
330,-0.0113101614600033,-0.00340835148873537,-0.0137720957385392,0.00402129612059599,-0.0514900771942033,-0.0166360066703718,-0.0231096854354786,0.00428947854920749,-0.0136157448769617
331.9,-0.0133182377912282,-0.00558398923733538,-0.0123560192204215,0.00334810331819369,-0.0445438842555166,-0.0127758675549486,-0.0197304710053312,-0.00378407334142331,-0.0105725959736962
333.7,-0.00857442760039325,-0.0041342883025962,-0.00795494150714418,0.00310970011742742,-0.0359953439654214,-0.0115610356736382,-0.016669899342896,0.000222352708371852,-0.00907982438542252
335.6,-0.00788002597163097,-0.00455936900321724,-0.00731071022899552,0.0028292801167646,-0.0303086704144089,-0.008403223058848,-0.0126993805513314,-0.000551734518166739,-0.00782625628706462
337.5,-0.00918539503260736,-0.0044288787454127,-0.00821742008855384,0.0013155177769444,-0.0254586609316308,-0.00820293157596324,-0.0107246964025608,0.000765632826930384,-0.00631876729367077
339.4,-0.00550565696183283,-0.00318556384726258,-0.00510788169095608,0.00133496247771817,-0.0204266081246789,-0.00688348125952634,-0.00874610998764291,0.00179894833460002,-0.00502622140739757
341.3,-0.0053607610182869,-0.00224762861904016,-0.00454098281206144,0.00136939432122933,-0.0182468308765607,-0.00531386963557773,-0.00751248627322356,-0.00108795931033828,-0.00453619588123517
343.2,-0.00438468425307579,-0.0017297506668893,-0.00443770864054815,0.00141258897245211,-0.0157385367948588,-0.00483704073156956,-0.00587330183590206,-0.000465151872533762,-0.00363896755526233
345,-0.00378940031645733,-0.00215932027989101,-0.00431463031497483,0.00136538353438565,-0.013836321344246,-0.00443370031464621,-0.00515523198855449,0.000884414143411635,-0.0031103671797924
346.9,-0.00210727735756418,-0.00188695663476093,-0.00265325180109454,0.00129142259421011,-0.0108615010604801,-0.00332096796097167,-0.00478221658833112,0.00126468224493818,-0.00277844722634225
348.8,-0.00252737614837406,-0.00153930101162963,-0.00246818512176533,0.000980012918998176,-0.010413692031544,-0.00352183308457021,-0.0039812209415406,0.000372553212049557,-0.00264224238155654
350.7,-0.00190181967633204,-0.000916990269903796,-0.00209524531333444,0.00103090421940452,-0.00890087244782242,-0.00262253199389255,-0.00355753424526024,0.00116514817862881,-0.00219410797640888
352.6,-0.00214702776882414,-0.0011387435313462,-0.00169312001732655,0.00087099059408538,-0.0081118730659752,-0.00213167729045197,-0.00286696532776684,0.000501088067558714,-0.00187390512981234
354.5,-0.00137100862897589,-0.000566617543247694,-0.00163537313935989,0.000776285255120898,-0.0075999022180627,-0.00208862583886353,-0.00252515219385175,0.000319988032452436,-0.00167013994550898
356.4,-0.00198355941090476,-0.000782510967580158,-0.00167295412540634,0.000622220270870003,-0.0064446944796186,-0.00185665348566738,-0.0024909254068981,-0.000126256364834606,-0.0016823904387211
358.2,-0.00167413398734992,-0.00104937111704617,-0.0015531831174119,0.000765024590286373,-0.00666709942666996,-0.00190841178096098,-0.00262093220603754,0.000195370581962683,-0.00164591724761963
360.1,-0.000782963656141044,-0.000604028445877768,-0.00130751540864773,0.000737487238590042,-0.00591638912559592,-0.00178506766827679,-0.00216312447527364,0.000328922114307916,-0.00146098871852032
362,-0.000663501309065853,-0.000355460490633311,-0.00109433652989811,0.000770020304532167,-0.00536998306626108,-0.00135546756976779,-0.00213857932695927,0.00058501247407138,-0.00127209167896021
363.9,-0.00104730527992306,-0.00067330221279312,-0.00110119364867642,0.000664155839640595,-0.00518083712516778,-0.0014377764927783,-0.00176820245086534,0.00026072728815378,-0.00123278342340975
365.8,-0.000132929153070181,-0.000384556759526313,-0.00098659032439896,0.000613630079301015,-0.00488652101831581,-0.00131977405426547,-0.00165259385053245,0.000248195589443744,-0.00112017512730993
367.7,-0.000381315056217869,-0.00073542935404399,-0.00112025842645077,0.000646020990772732,-0.00493206399645397,-0.00107500553742437,-0.00166799669780512,0.000593306979597161,-0.00113486644287998
369.5,0.00012201792907094,-0.000411826778509209,-0.00107541088206998,0.000631541542572522,-0.00440235551629865,-0.00112170613909798,-0.00157312615686236,0.000313252494230295,-0.000979262568142661
371.4,0.00076399679324216,-0.000340033875538994,-0.00109045679196905,0.000646721609234032,-0.00424075774434323,-0.00112375363887339,-0.00146126119397164,0.000685805706279852,-0.00102585850470005
373.3,0.00181711880001207,-5.47578021827149e-05,-0.000737551695794784,0.000593119219999176,-0.00398162946913031,-0.00121110321667081,-0.00149036956137159,0.000609636162764784,-0.000854505238192405
375.2,0.00330099526339151,-0.000583598202980963,-0.000918750562618902,0.000584904722387697,-0.00396999978487729,-0.0011329262106828,-0.00151995910251058,0.000308175857113311,-0.000927245802833104
377.1,0.00582403247798583,-0.000566780866410386,-0.000991424096245002,0.00047337438646126,-0.00392836362424592,-0.000943102250921731,-0.00154997694115355,0.00032422522563669,-0.000911250009755857
378.9,0.0109206074296557,-0.000200590538906854,-0.000771932693078021,0.000509217620785761,-0.00378792998662542,-0.000841397456252305,-0.00138881017669386,0.000145643522328601,-0.000886885268760158
380.8,0.0189649962129045,-0.000440096533215253,-0.000893854252526993,0.000397240513666611,-0.00365912981526908,-0.000895041382407034,-0.00135423969421232,0.00030771616162634,-0.000874985535055536
382.7,0.0339774515326014,-0.000429866564206606,-0.000781174896648783,0.000461910643811866,-0.00337176882690209,-0.000874234127407791,-0.00134556799166265,0.00011560342159306,-0.000785080945258914
384.6,0.0598852862431654,-9.34455949938395e-05,-0.000404554107354875,0.000587402579510594,-0.00336428422685763,-0.000783925472265042,-0.00120471098908911,0.000520175423648163,-0.00067076813188302
386.5,0.102177890471465,-0.000183060519444528,-0.000660445879596038,0.000694861205248893,-0.00339229001934335,-0.000837671631418266,-0.00107077019806129,0.000465211832814672,-0.000733203324216793
388.4,0.171642609157304,-0.000179521850919524,-0.000561317780480293,0.000598967861067423,-0.00319997475291541,-0.00068456351714446,-0.00130722743362141,0.000564825846165261,-0.000709690841859135
390.2,0.280528346806307,-8.8120270052715e-05,-0.000381490337411837,0.000698780607075878,-0.00317248331394461,-0.000571226879090717,-0.00122017728784386,0.000447863324871591,-0.00065086180512306
392.1,0.444581877446583,-0.000129876558647759,-0.000333200320647267,0.000699176608814874,-0.0033617729714612,-0.000660337136306663,-0.00117827287155964,0.000796312503995624,-0.000639536041521608
394,0.677687566948776,4.25729044085063e-05,-4.09598561690918e-05,0.000666998929048771,-0.00318579599315457,-0.000584446173757221,-0.00109774765318836,0.0007624949055628,-0.000637785142823048
395.9,0.971089491390277,0.000167599260042973,0.000282171431512695,0.00083876214486556,-0.00289866948947821,-0.000607136219812079,-0.00104033463716135,0.00131828673607107,-0.000592806758374593
397.8,1.2722198291237,0.000206316747974588,0.000635171931078658,0.000921800663365778,-0.00300031103884401,-0.000597918211114448,-0.00100483353294277,0.00141810061702469,-0.000652488053748709
399.6,1.48822650838525,0.000203312591618396,0.000938884653408542,0.00100668718998131,-0.00281309770544284,-0.000713256912055385,-0.0010484511392429,0.00175173960676413,-0.000609147513281524
401.5,1.5282985896399,0.000521223602392681,0.00135006929648644,0.00117486608236565,-0.00274548291029635,-0.000305778898498494,-0.00101465793741673,0.00194075439895043,-0.000592293663888425
403.4,1.37268420186702,0.000474676501025324,0.00114168443816966,0.00127386651711463,-0.00279243657858943,-0.000512851836950082,-0.000944385421023381,0.00164664922109049,-0.00058434794645009
405.3,1.10515476732596,0.000468574153764723,0.000901601802961151,0.00115175582703348,-0.00267383270926435,-0.000625376290626893,-0.00102546583986278,0.00170109315615611,-0.00064183192193429
407.2,0.84574875016356,0.000887047690076842,0.000779191301129725,0.00108535953546183,-0.002586468251949,-0.000500024435444475,-0.00104967258027276,0.00140013251951221,-0.00062590570099076
409,0.656092899084698,0.00129587031222986,0.000806699279069371,0.00116843866952502,-0.00252915943715682,-0.000436012379359047,-0.000982736554311638,0.00138366342902247,-0.000491666268982572
410.9,0.526348445630263,0.00162055675966251,0.000326319351021035,0.00115536045824741,-0.00244764953308494,-0.000488616936695743,-0.000899763166257133,0.00114927869094815,-0.000501846991216586
412.8,0.421969921279806,0.00227453734739043,0.000286985327652133,0.00108179551981087,-0.00252696587069608,-0.0005687448890717,-0.000961432719206387,0.000866346112097644,-0.000512039308806221
414.7,0.325489756423993,0.00310077437989144,0.000213083475357919,0.00123874420903291,-0.00244953675664339,-0.000450438591368894,-0.000793164676378288,0.000839803694415143,-0.000568352153372842
416.5,0.239346476291942,0.00493650693180792,0.000246256029679645,0.00123063125032887,-0.00242649296277229,-0.000474088491687401,-0.000855548058500838,0.00083188893733512,-0.000547790689020374
418.4,0.17244517301623,0.00739407015433564,0.000209223613135463,0.00129693615688382,-0.00209813119164532,-0.000414637163257054,-0.00083072266614066,0.000543879721367625,-0.000527895957616033
420.3,0.126713533207477,0.0108209167539492,0.000345861145753882,0.00150885801059109,-0.00223329270573778,-0.000520925404025671,-0.000909777925177298,0.000678650446091346,-0.000531070186216901
422.2,0.096827446226583,0.0160915135880115,0.000377590723776173,0.00177701211123578,-0.00216612796991686,-0.000326532197192975,-0.000834788848616694,0.000828990857091173,-0.000445418193093769
424.1,0.0763556233128545,0.0226423907960466,0.000443172605286041,0.00212116808409546,-0.00215121928200616,-0.00035130950030044,-0.000812126094270427,0.000926186472445089,-0.000405489586017653
425.9,0.0594465039257214,0.0328885287978003,0.000575906549127475,0.00254378317073004,-0.00216262960961311,-0.000322258289894782,-0.000773420690207275,0.00124425577590843,-0.000424934997391734
427.8,0.0450961054557015,0.0463937062732811,0.000774778894263684,0.00312879958591591,-0.00202685162770495,-0.000320440814365983,-0.00058515485527988,0.00138977937767521,-0.000458964467296375
429.7,0.0332362549752517,0.0647285327894883,0.00127361937860562,0.00401595517406492,-0.00201664397964027,-0.000398535465994094,-0.00083172731460678,0.00187180007590478,-0.000471151186052582
431.6,0.0239887204108564,0.0895495456937441,0.00193526972602185,0.00502100758763653,-0.00188522287456447,-0.000449657644852613,-0.000861137076546569,0.0020984699245021,-0.000447398100065817
433.4,0.0179120575413648,0.121844721441483,0.00272534496408781,0.00630427660757962,-0.00199976864593719,-0.000368853818764384,-0.000676308196898006,0.00237452705780835,-0.000424079839914788
435.3,0.0136738359147106,0.163741665923912,0.00357723364969156,0.00814063821021107,-0.00194433949068119,-0.000367595784921793,-0.000723320457488919,0.00339964799375372,-0.000479940465612244
437.2,0.0107146886325417,0.220380901448977,0.00485470096509568,0.0103907099372951,-0.00198709134459862,-0.000366513819021055,-0.000737586465707824,0.0044364611844764,-0.00044996067365775
439.1,0.00845082632160755,0.300911049212697,0.00675317678305259,0.0138548519189053,-0.00188541953914371,-0.000339481710335673,-0.000703037133720306,0.00596674748708232,-0.000391838953614471
440.9,0.00637783265207765,0.4160703102109,0.00940153121003995,0.018603593080146,-0.0017366957331061,-0.00036482129493486,-0.000652598493097572,0.00823650394738188,-0.000334134666373497
442.8,0.00495173456425426,0.572808480951088,0.012830341033097,0.0255667251963981,-0.00166138076328022,-0.000286135963759888,-0.000684017551969601,0.0111936450680252,-0.000347733119676391
444.7,0.00370833836667478,0.765720356618022,0.0174314637582002,0.0349226216663524,-0.00187532156940206,-0.000285715672543853,-0.000487862582771411,0.0150677787513743,-0.000325962839500579
446.6,0.002857262894734,0.966343560157414,0.0238247590720606,0.0464074437929302,-0.00172897286635987,0,-0.000633457296006232,0.0199563004803859,-0.000353881556993688
448.4,0.00236108553903328,1.12776277070784,0.0316151694799386,0.058906050679119,-0.0016313099927125,-5.18349700424701e-05,-0.000616605639892945,0.0233416779272832,-0.000311109188951863
450.3,0.00179581302402577,1.1985777143766,0.0420110027885398,0.0695182778968739,-0.00134236055966704,-0.000207172331644569,-0.000664754739537625,0.0256076768766458,-0.000346185139701174
452.2,0.00193540891273703,1.15569301120295,0.0558262486861158,0.0760434219359059,-0.00122171818633794,-0.000207038860785423,-0.000469889950474873,0.0256240260465737,-0.000310659868921603
454.1,0.00154752156629966,1.01756021922175,0.0727321272091681,0.0770140831215293,-0.00134079858906656,0,-0.000469646719793602,0.0232630500122509,-0.000317553307837459
455.9,0.00189843075238115,0.839924998290663,0.0942933334843734,0.0726472805606047,-0.00129236615441806,-2.58564292026894e-05,-0.000404693552647187,0.0194953058539952,-0.000324475735142365
457.8,0.00119489569579059,0.678452336523357,0.122040177665984,0.0654216094452891,-0.00112444864184904,-2.58450699806344e-05,-0.000291279316069243,0.016273280199055,-0.000282054126608033
459.7,0.00094861536998288,0.55947190742056,0.159164181466197,0.0585418103103687,-0.00117196204779072,-0.000129194112042521,-0.00050150465141662,0.0133986644117031,-0.000324269917580117
461.5,0.00098351017545092,0.478110494250602,0.210190566261737,0.0537549006738232,-0.00121950192781037,-2.58337107585794e-05,-0.000404339281872292,0.0117558326618305,-0.000204382636990096
463.4,0.0010184272033711,0.418712483048324,0.280260899091112,0.051336528207666,-0.00112362038140956,-0.000129137315932246,-0.000371915574534143,0.0106223035380012,-0.000302983743501423
465.3,0.00108846126128069,0.36486745937759,0.375491411893267,0.0500370129625333,-0.000956099980010165,7.74670546095733e-05,-0.000420350205848142,0.00975172023271927,-0.000288840308484408
467.2,0.000912753887846882,0.309491206818813,0.496817534923804,0.0488306393571906,-0.000740854380045297,-0.000103275207118529,-0.000404117201685044,0.00888163659644494,-0.000260617212906285
469,0.00108812792449863,0.253731095335841,0.638858874653661,0.0466728969586371,-0.000382323506060979,5.16305040454801e-05,-0.000484869787867074,0.00774982633400169,-0.000218323153283768
470.9,0.00126346862747218,0.202119293201523,0.784941343050202,0.043619672781525,-0.000286702918428772,-2.58109923144694e-05,-0.000307047009363822,0.0070935410726895,-0.000288712759572592
472.8,0.00136860304853207,0.15955851430055,0.90921936627412,0.0401260337473049,0.000215003551251959,0.000154851754859248,-0.000210061419018694,0.00656854883980829,-0.000154902355722328
474.6,0.00140355341013045,0.12699128175726,0.985044789453449,0.0368693662152563,0.000668833541921652,0.000206448181238563,-0.000387762582181311,0.00583085750378162,-0.000197126843211127
476.5,0.00143852599418097,0.103601029250058,0.995313374513231,0.0348212350672788,0.00133755740552027,7.74102584992983e-05,-0.000306951832140716,0.00517527177908004,-0.000225271670138818
478.4,0.00126300751159033,0.0867116820122936,0.943655220507583,0.0339550777251873,0.0024122120887107,0.000129009524684127,-0.000226162232594145,0.00466724830569615,-0.000140785010255457
480.2,0.00129801898493209,0.0736484520658718,0.848924025206728,0.0339957542115057,0.00336735900191379,0.000180603111257928,-0.000161536898105095,0.00412660643949763,-0.000175971116883154
