"Wavelength","UV_normalized","blue_normalized","light_blue_normalized","white_normalized","green_normalized","orange_normalized","red_normalized","far_red_normalized"
328.1,-0.00556508968105421,-0.00321301743393514,-0.00907301007671626,0.000907271202856638,-0.000555102603876835,-0.00143109214784229,-0.00182058316724459,0.000433216678599963
330,-0.00535331036972445,-0.0034525845233075,-0.00339959222776223,0.000341367635682477,0,-0.00107529575749476,-0.00240762835178468,0.000546167561799294
331.9,-0.00424735174389127,-0.00317074088875179,-0.00637562870255737,0.000376052047864119,-7.40531755438681e-05,-0.00102785623878175,-0.00109978085204979,-0.000790656182395313
333.7,-0.00437677243414835,-0.00279025198210157,-0.00310979092310054,0.000529393659614537,-0.000366711325293235,-0.000785914693345433,-0.00100317847991029,-0.0003688775679168
335.6,-0.00208249656140929,-0.00231111780335686,-0.00244101868157354,0.000512964201212707,-0.000151660903513842,0.000499696263776975,-0.00059224685073222,7.17738523621061e-05
337.5,-0.00150598621390051,-0.00193062889670664,-0.00276425859831159,0.000730198151192465,0.000588870851924839,-0.000707639487468976,-0.000459975910418123,-0.000164422171745861
339.4,-0.0020236689749288,-0.00123870277387236,-0.00212892496886094,0.000189851519310041,0.000106044147378819,-6.98942242371592e-05,-0.000441398531160525,-8.76441663306197e-05
341.3,-0.00117655172960977,-0.0013218466460663,-0.00148244513538484,0.000562252576418198,-8.94562360569926e-05,-0.000680757093531607,7.00738745596592e-05,7.42044409879145e-05
343.2,-0.00191777931926393,-0.00105268597506559,-0.00106223324362538,0.000339542140304496,0,-0.000253010766469355,-1.99892600811753e-05,-0.000544737803784112
345,-0.00102712965994933,-0.000639785050441471,-0.000711127816823707,0.000447246367605385,-0.000154623030535597,-0.000218221786079818,-0.000121124512759538,3.91753696159703e-05
346.9,-0.000897708969692255,-0.000706018304562064,-0.00108675489248137,0.000264696829807269,-0.000173580643474827,-0.000496533629196108,9.06576107770776e-05,-0.000198736364110214
348.8,-0.000792995865756985,-0.000415719360969679,-0.000800297449027306,0.000147865125616474,-8.5309258226536e-05,-0.000253010766469355,-0.000199892600811753,9.07896339640187e-05
350.7,-0.000844764141859815,-0.000116260499254232,-0.000939624999345431,0.000162103989564727,0.000137442693809419,-0.000302031602472792,-0.00017834284087294,-7.5777174804614e-05
